chord,counts,freq
Am,334115,0.2160897847995002
Dm,202437,0.13092668023122703
G,201495,0.13031743916967298
C,186652,0.12071768855752155
F,179087,0.11582500423623031
E,168807,0.10917638628211612
Em,75176,0.04862028242397745
A,62780,0.040603135715884114
B,40192,0.025994285292972513
D,38590,0.024958187436699076
Bm,17256,0.011160364923754322
Gm,15975,0.010331874690367136
Fm,13339,0.008627034522366649
Cm,10285,0.0066518517177105475
